date,maker,vehicle_category,state,estimated_ev_sales,state_contribution,active_states,geographic_reach,geo_hhi,geo_concentration,top_state,is_top_state
2021-04-01,MG Motor,4-Wheelers,Andhra Pradesh,5,4.2,18.0,52.9,0.12026450999999999,Moderately Diversified,Kerala,0
2021-04-01,Mahindra and Mahindra,4-Wheelers,Andhra Pradesh,7,4.09,20.0,58.8,0.12271287000000002,Moderately Diversified,Kerala,0
2021-04-01,Mercedes-Benz AG,4-Wheelers,Andhra Pradesh,0,0.0,1.0,2.9,1.0,Highly Concentrated,Kerala,0
2021-04-01,PCA Automobiles,4-Wheelers,Andhra Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,Tata Motors,4-Wheelers,Andhra Pradesh,13,4.02,22.0,64.7,0.12156891,Moderately Diversified,Kerala,0
2021-04-01,Volvo Auto India,4-Wheelers,Andhra Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,AMPERE,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15115451000000002,Moderately Diversified,Karnataka,0
2021-04-01,ATHER,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15194638000000002,Moderately Diversified,Karnataka,0
2021-04-01,BAJAJ,2-Wheelers,Arunachal Pradesh,0,0.0,13.0,38.2,0.15978643,Moderately Diversified,Karnataka,0
2021-04-01,BEING,2-Wheelers,Arunachal Pradesh,0,0.0,19.0,55.9,0.15427337,Moderately Diversified,Karnataka,0
2021-04-01,HERO ELECTRIC,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15170165000000002,Moderately Diversified,Karnataka,0
2021-04-01,JITENDRA,2-Wheelers,Arunachal Pradesh,0,0.0,13.0,38.2,0.15433458,Moderately Diversified,Karnataka,0
2021-04-01,OKINAWA,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15124859000000002,Moderately Diversified,Karnataka,0
2021-04-01,OLA ELECTRIC,2-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,OTHERS,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15138807,Moderately Diversified,Karnataka,0
2021-04-01,PURE EV,2-Wheelers,Arunachal Pradesh,0,0.0,24.0,70.6,0.15040509000000002,Moderately Diversified,Karnataka,0
2021-04-01,REVOLT,2-Wheelers,Arunachal Pradesh,0,0.0,18.0,52.9,0.15384822999999997,Moderately Diversified,Karnataka,0
2021-04-01,TVS,2-Wheelers,Arunachal Pradesh,0,0.0,19.0,55.9,0.15474735,Moderately Diversified,Karnataka,0
2021-04-01,BMW India,4-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,BYD India,4-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,Hyundai Motor,4-Wheelers,Arunachal Pradesh,0,0.0,6.0,17.6,0.2,Moderately Diversified,Kerala,0
2021-04-01,KIA Motors,4-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,MG Motor,4-Wheelers,Arunachal Pradesh,0,0.0,18.0,52.9,0.12026450999999999,Moderately Diversified,Kerala,0
2021-04-01,Mahindra and Mahindra,4-Wheelers,Arunachal Pradesh,0,0.0,20.0,58.8,0.12271287000000002,Moderately Diversified,Kerala,0
2021-04-01,Mercedes-Benz AG,4-Wheelers,Arunachal Pradesh,0,0.0,1.0,2.9,1.0,Highly Concentrated,Kerala,0
2021-04-01,PCA Automobiles,4-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,Tata Motors,4-Wheelers,Arunachal Pradesh,0,0.0,22.0,64.7,0.12156891,Moderately Diversified,Kerala,0
2021-04-01,Volvo Auto India,4-Wheelers,Arunachal Pradesh,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,AMPERE,2-Wheelers,Assam,1,0.13,24.0,70.6,0.15115451000000002,Moderately Diversified,Karnataka,0
2021-04-01,ATHER,2-Wheelers,Assam,1,0.11,24.0,70.6,0.15194638000000002,Moderately Diversified,Karnataka,0
2021-04-01,BAJAJ,2-Wheelers,Assam,0,0.0,13.0,38.2,0.15978643,Moderately Diversified,Karnataka,0
2021-04-01,BEING,2-Wheelers,Assam,0,0.0,19.0,55.9,0.15427337,Moderately Diversified,Karnataka,0
2021-04-01,HERO ELECTRIC,2-Wheelers,Assam,1,0.13,24.0,70.6,0.15170165000000002,Moderately Diversified,Karnataka,0
2021-04-01,JITENDRA,2-Wheelers,Assam,0,0.0,13.0,38.2,0.15433458,Moderately Diversified,Karnataka,0
2021-04-01,OKINAWA,2-Wheelers,Assam,2,0.16,24.0,70.6,0.15124859000000002,Moderately Diversified,Karnataka,0
2021-04-01,OLA ELECTRIC,2-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,OTHERS,2-Wheelers,Assam,1,0.13,24.0,70.6,0.15138807,Moderately Diversified,Karnataka,0
2021-04-01,PURE EV,2-Wheelers,Assam,1,0.16999999999999998,24.0,70.6,0.15040509000000002,Moderately Diversified,Karnataka,0
2021-04-01,REVOLT,2-Wheelers,Assam,0,0.0,18.0,52.9,0.15384822999999997,Moderately Diversified,Karnataka,0
2021-04-01,TVS,2-Wheelers,Assam,0,0.0,19.0,55.9,0.15474735,Moderately Diversified,Karnataka,0
2021-04-01,BMW India,4-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,BYD India,4-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,Hyundai Motor,4-Wheelers,Assam,0,0.0,6.0,17.6,0.2,Moderately Diversified,Kerala,0
2021-04-01,KIA Motors,4-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,MG Motor,4-Wheelers,Assam,0,0.0,18.0,52.9,0.12026450999999999,Moderately Diversified,Kerala,0
2021-04-01,Mahindra and Mahindra,4-Wheelers,Assam,0,0.0,20.0,58.8,0.12271287000000002,Moderately Diversified,Kerala,0
2021-04-01,Mercedes-Benz AG,4-Wheelers,Assam,0,0.0,1.0,2.9,1.0,Highly Concentrated,Kerala,0
2021-04-01,PCA Automobiles,4-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,Tata Motors,4-Wheelers,Assam,0,0.0,22.0,64.7,0.12156891,Moderately Diversified,Kerala,0
2021-04-01,Volvo Auto India,4-Wheelers,Assam,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,AMPERE,2-Wheelers,Bihar,6,0.8,24.0,70.6,0.15115451000000002,Moderately Diversified,Karnataka,0
2021-04-01,ATHER,2-Wheelers,Bihar,7,0.7799999999999999,24.0,70.6,0.15194638000000002,Moderately Diversified,Karnataka,0
2021-04-01,BAJAJ,2-Wheelers,Bihar,0,0.0,13.0,38.2,0.15978643,Moderately Diversified,Karnataka,0
2021-04-01,BEING,2-Wheelers,Bihar,1,0.59,19.0,55.9,0.15427337,Moderately Diversified,Karnataka,0
2021-04-01,HERO ELECTRIC,2-Wheelers,Bihar,6,0.79,24.0,70.6,0.15170165000000002,Moderately Diversified,Karnataka,0
2021-04-01,JITENDRA,2-Wheelers,Bihar,0,0.0,13.0,38.2,0.15433458,Moderately Diversified,Karnataka,0
2021-04-01,OKINAWA,2-Wheelers,Bihar,10,0.8,24.0,70.6,0.15124859000000002,Moderately Diversified,Karnataka,0
2021-04-01,OLA ELECTRIC,2-Wheelers,Bihar,0,0.0,0.0,0.0,0.0,Very Diversified,,0
2021-04-01,OTHERS,2-Wheelers,Bihar,6,0.8,24.0,70.6,0.15138807,Moderately Diversified,Karnataka,0
2021-04-01,PURE EV,2-Wheelers,Bihar,5,0.86,24.0,70.6,0.15040509000000002,Moderately Diversified,Karnataka,0
