date,vehicle_category,maker,electric_vehicles_sold,monthly_total_sales,maker_share_percent
2023-06-01,4-Wheelers,PCA Automobiles,254,7790,0.03260590500641849
2023-06-01,4-Wheelers,Tata Motors,3671,7790,0.4712451861360719
2023-06-01,4-Wheelers,Volvo Auto India,33,7790,0.004236200256739409
2023-07-01,2-Wheelers,AMPERE,3530,54192,0.06513876586950103
2023-07-01,2-Wheelers,ATHER,6604,54192,0.12186300560968409
2023-07-01,2-Wheelers,BAJAJ,4081,54192,0.07530631827576026
2023-07-01,2-Wheelers,BATTRE ELECTRIC,133,54192,0.002454236787717744
2023-07-01,2-Wheelers,BGAUSS,653,54192,0.012049749040448775
2023-07-01,2-Wheelers,HERO ELECTRIC,770,54192,0.014208739297313257
2023-07-01,2-Wheelers,KINETIC GREEN,229,54192,0.004225715972837319
2023-07-01,2-Wheelers,OKAYA EV,775,54192,0.014301003838204901
2023-07-01,2-Wheelers,OKINAWA,2238,54192,0.04129760850310009
2023-07-01,2-Wheelers,OLA ELECTRIC,19409,54192,0.35815249483318573
2023-07-01,2-Wheelers,OTHERS,5020,54192,0.0926335990552111
2023-07-01,2-Wheelers,REVOLT,478,54192,0.008820490109241217
2023-07-01,2-Wheelers,TVS,10272,54192,0.18954827280779452
2023-07-01,4-Wheelers,BMW India,81,7430,0.010901749663526245
2023-07-01,4-Wheelers,BYD India,89,7430,0.011978465679676985
2023-07-01,4-Wheelers,Hyundai Motor,88,7430,0.011843876177658143
2023-07-01,4-Wheelers,KIA Motors,22,7430,0.0029609690444145358
2023-07-01,4-Wheelers,MG Motor,935,7430,0.12584118438761777
2023-07-01,4-Wheelers,Mahindra and Mahindra,2174,7430,0.29259757738896364
2023-07-01,4-Wheelers,Mercedes-Benz AG,23,7430,0.003095558546433378
2023-07-01,4-Wheelers,PCA Automobiles,169,7430,0.022745625841184388
2023-07-01,4-Wheelers,Tata Motors,3823,7430,0.514535666218035
2023-07-01,4-Wheelers,Volvo Auto India,26,7430,0.0034993270524899056
2023-08-01,2-Wheelers,AMPERE,3654,62471,0.05849113988890845
2023-08-01,2-Wheelers,ATHER,7065,62471,0.11309247490835747
2023-08-01,2-Wheelers,BAJAJ,6508,62471,0.10417633782074882
2023-08-01,2-Wheelers,BATTRE ELECTRIC,287,62471,0.004594131677098174
2023-08-01,2-Wheelers,BGAUSS,912,62471,0.01459877383105761
2023-08-01,2-Wheelers,HERO ELECTRIC,774,62471,0.012389748843463368
2023-08-01,2-Wheelers,KINETIC GREEN,380,62471,0.006082822429607337
2023-08-01,2-Wheelers,OKAYA EV,1137,62471,0.018200445006483008
2023-08-01,2-Wheelers,OKINAWA,1977,62471,0.031646684061404494
2023-08-01,2-Wheelers,OLA ELECTRIC,18983,62471,0.3038689952137792
2023-08-01,2-Wheelers,OTHERS,4990,62471,0.07987706295721214
2023-08-01,2-Wheelers,REVOLT,508,62471,0.008131773142738231
2023-08-01,2-Wheelers,TVS,15296,62471,0.24484961021914167
2023-08-01,4-Wheelers,BMW India,64,6753,0.009477269361765142
2023-08-01,4-Wheelers,BYD India,80,6753,0.011846586702206426
2023-08-01,4-Wheelers,Hyundai Motor,141,6753,0.02087960906263883
2023-08-01,4-Wheelers,KIA Motors,21,6753,0.003109729009329187
2023-08-01,4-Wheelers,MG Motor,913,6753,0.13519917073893084
2023-08-01,4-Wheelers,Mahindra and Mahindra,2013,6753,0.29808973789426924
2023-08-01,4-Wheelers,Mercedes-Benz AG,8,6753,0.0011846586702206428
2023-08-01,4-Wheelers,PCA Automobiles,89,6753,0.01317932770620465
2023-08-01,4-Wheelers,Tata Motors,3388,6753,0.5017029468384422
2023-08-01,4-Wheelers,Volvo Auto India,36,6753,0.0053309640159928924
2023-09-01,2-Wheelers,AMPERE,4148,63746,0.06507074953722587
2023-09-01,2-Wheelers,ATHER,7107,63746,0.1114893483512691
2023-09-01,2-Wheelers,BAJAJ,7019,63746,0.11010886957613027
2023-09-01,2-Wheelers,BATTRE ELECTRIC,255,63746,0.004000250996140934
2023-09-01,2-Wheelers,BGAUSS,924,63746,0.014495027138957738
2023-09-01,2-Wheelers,HERO ELECTRIC,835,63746,0.01309886110501051
2023-09-01,2-Wheelers,KINETIC GREEN,231,63746,0.0036237567847394346
2023-09-01,2-Wheelers,OKAYA EV,873,63746,0.013694976939729552
2023-09-01,2-Wheelers,OKINAWA,1769,63746,0.027750760832052208
2023-09-01,2-Wheelers,OLA ELECTRIC,18926,63746,0.2968970602076993
2023-09-01,2-Wheelers,OTHERS,5355,63746,0.08400527091895962
2023-09-01,2-Wheelers,REVOLT,879,63746,0.013789100492579927
2023-09-01,2-Wheelers,TVS,15425,63746,0.24197596711950553
2023-09-01,4-Wheelers,BMW India,58,6047,0.009591532991566065
2023-09-01,4-Wheelers,BYD India,141,6047,0.023317347445014056
2023-09-01,4-Wheelers,Hyundai Motor,161,6047,0.026624772614519596
2023-09-01,4-Wheelers,KIA Motors,26,6047,0.004299652720357202
2023-09-01,4-Wheelers,MG Motor,676,6047,0.11179097072928725
2023-09-01,4-Wheelers,Mahindra and Mahindra,1668,6047,0.27583925913676205
2023-09-01,4-Wheelers,Mercedes-Benz AG,41,6047,0.006780221597486357
2023-09-01,4-Wheelers,PCA Automobiles,108,6047,0.017860095915329915
2023-09-01,4-Wheelers,Tata Motors,3126,6047,0.5169505539937159
2023-09-01,4-Wheelers,Volvo Auto India,42,6047,0.006945592855961634
2023-10-01,2-Wheelers,AMPERE,4487,74623,0.06012891467778031
2023-10-01,2-Wheelers,ATHER,8375,74623,0.11223081355614221
2023-10-01,2-Wheelers,BAJAJ,8960,74623,0.12007021963737721
2023-10-01,2-Wheelers,BATTRE ELECTRIC,227,74623,0.0030419575734023023
2023-10-01,2-Wheelers,BGAUSS,1157,74623,0.015504603138442572
2023-10-01,2-Wheelers,HERO ELECTRIC,658,74623,0.00881765675461989
2023-10-01,2-Wheelers,KINETIC GREEN,389,74623,0.0052128700266673815
2023-10-01,2-Wheelers,OKAYA EV,863,74623,0.011564799056591132
2023-10-01,2-Wheelers,OKINAWA,1457,74623,0.019524811385229754
2023-10-01,2-Wheelers,OLA ELECTRIC,23968,74623,0.32118783752998403
2023-10-01,2-Wheelers,OTHERS,7092,74623,0.09503772295404903
2023-10-01,2-Wheelers,REVOLT,681,74623,0.009125872720206906
2023-10-01,2-Wheelers,TVS,16309,74623,0.21855192098950726
2023-10-01,4-Wheelers,BMW India,71,7210,0.00984743411927878
2023-10-01,4-Wheelers,BYD India,109,7210,0.015117891816920944
2023-10-01,4-Wheelers,Hyundai Motor,148,7210,0.020527045769764215
2023-10-01,4-Wheelers,KIA Motors,39,7210,0.005409153952843273
2023-10-01,4-Wheelers,MG Motor,714,7210,0.09902912621359224
2023-10-01,4-Wheelers,Mahindra and Mahindra,2027,7210,0.2811373092926491
2023-10-01,4-Wheelers,Mercedes-Benz AG,18,7210,0.0024965325936199723
2023-10-01,4-Wheelers,PCA Automobiles,132,7210,0.018307905686546465
2023-10-01,4-Wheelers,Tata Motors,3911,7210,0.5424410540915395
2023-10-01,4-Wheelers,Volvo Auto India,41,7210,0.005686546463245492
2023-11-01,2-Wheelers,AMPERE,4638,91243,0.05083129664741405
2023-11-01,2-Wheelers,ATHER,9220,91243,0.10104884758282827
2023-11-01,2-Wheelers,BAJAJ,11769,91243,0.12898523722367744
2023-11-01,2-Wheelers,BATTRE ELECTRIC,659,91243,0.007222471860855079
2023-11-01,2-Wheelers,BGAUSS,1589,91243,0.017415034577995023
2023-11-01,2-Wheelers,HERO ELECTRIC,814,91243,0.008921232313711737
2023-11-01,2-Wheelers,KINETIC GREEN,422,91243,0.004625012329712964
2023-11-01,2-Wheelers,OKAYA EV,1281,91243,0.014039433161995988
2023-11-01,2-Wheelers,OKINAWA,1587,91243,0.017393115088280744
2023-11-01,2-Wheelers,OLA ELECTRIC,29980,91243,0.32857315081704896
2023-11-01,2-Wheelers,OTHERS,9707,91243,0.10638624332825532
2023-11-01,2-Wheelers,REVOLT,663,91243,0.0072663108402836385
2023-11-01,2-Wheelers,TVS,18914,91243,0.20729261422794076
2023-11-01,4-Wheelers,BMW India,215,7042,0.030531099119568306
2023-11-01,4-Wheelers,BYD India,106,7042,0.015052541891508094
2023-11-01,4-Wheelers,Hyundai Motor,125,7042,0.01775063902300483
