date,vehicle_category,maker,electric_vehicles_sold,uuid,year,month,cumulative_sales,segment
2021-08-01,4-Wheelers,BYD India,0,5552718c-4d74-45e9-bde6-d4214751df4a,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,PCA Automobiles,0,a41a5067-dd1e-4ce2-bc09-472ca4443d23,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,BMW India,0,11bee00a-8a7c-4a9f-82ee-c0accf37dada,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Volvo Auto India,0,bf00b789-3daf-4779-b21a-01c9c3d83050,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,KIA Motors,0,d16b0c76-5681-4566-b9e8-8e8e35b342a8,2021,August,0,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,PCA Automobiles,0,e9d4af9a-337f-43e7-91d1-ffa46df4c7fd,2022,August,0,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,Volvo Auto India,0,53c10ea9-b123-4214-8410-ef5e4c84428a,2022,August,4,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,KIA Motors,0,9585f6b3-40c7-4aff-b0a3-ce6e968be139,2022,August,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,BYD India,0,3dcb9754-2d5a-49b7-9b5b-4096b224fbe4,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,PCA Automobiles,0,b8fb8ca9-f867-4db9-955c-93a73e7bb4f8,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,BMW India,0,aa334047-0de7-47df-81f4-f1980aa47b0c,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,Volvo Auto India,0,2e341874-4b25-473c-b463-bb7d3a6fe505,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,KIA Motors,0,77f992f3-77bf-44ea-8fc7-12217b332581,2021,September,0,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,PCA Automobiles,0,e1bbd6bc-7f9d-49b6-8121-acbd243cf046,2022,September,0,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,Volvo Auto India,0,b493eccf-1e0f-4eb7-8f37-6aa9cde60f69,2022,September,4,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,KIA Motors,0,5881cf0e-0d1b-416e-8153-f5b82aed5b87,2022,September,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,BYD India,0,28c83c0e-4a3e-431f-a5b5-cd556f5b3930,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,PCA Automobiles,0,9306e31e-119c-4b99-aaaf-cae682fbbdd4,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,BMW India,0,8c6bdce8-679a-4127-8775-d67275819a7a,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,Volvo Auto India,0,06b1ce3a-0407-45dd-928b-607dff85767e,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,KIA Motors,0,c979f378-922a-478e-bc9d-ba3e5d5e2311,2021,October,0,Four-Wheeler Manufacturer
2022-10-01,4-Wheelers,PCA Automobiles,0,1ddf05ea-b582-4dd2-9fcd-80f786ce35dd,2022,October,0,Four-Wheeler Manufacturer
2022-10-01,4-Wheelers,Volvo Auto India,0,692ce2fa-a9db-4b28-b9a9-8f1988f03448,2022,October,4,Four-Wheeler Manufacturer
2021-11-01,4-Wheelers,BYD India,0,0c5cf766-0da6-415e-81a2-8d2b1649b8fc,2021,November,0,Four-Wheeler Manufacturer
2021-11-01,4-Wheelers,PCA Automobiles,0,f080cef9-9a4c-4fce-a63a-61242f9a3804,2021,November,0,Four-Wheeler Manufacturer
2021-11-01,4-Wheelers,BMW India,0,3f759cad-7f79-4f21-ae4b-bc547af5ac4b,2021,November,0,Four-Wheeler Manufacturer
2021-11-01,4-Wheelers,Volvo Auto India,0,5aba6b8b-22e7-4aaa-9e87-73c9940338e3,2021,November,0,Four-Wheeler Manufacturer
2021-11-01,4-Wheelers,KIA Motors,0,0c3f6bed-c1b1-4956-94d1-30c651453960,2021,November,0,Four-Wheeler Manufacturer
2022-11-01,4-Wheelers,PCA Automobiles,0,0bb3cfae-5aa2-437a-bb40-663bf4583a6c,2022,November,0,Four-Wheeler Manufacturer
2021-12-01,4-Wheelers,PCA Automobiles,0,139cfc81-b0cd-495b-8712-7a6353ece3ec,2021,December,0,Four-Wheeler Manufacturer
2021-12-01,4-Wheelers,BMW India,0,65fe455b-f893-4815-ab5f-3200bf256c5f,2021,December,0,Four-Wheeler Manufacturer
2021-12-01,4-Wheelers,Volvo Auto India,0,ca75bd81-253b-4bc2-9763-48fe3c84845d,2021,December,0,Four-Wheeler Manufacturer
2021-12-01,4-Wheelers,KIA Motors,0,ff643a7c-e192-4a04-941d-0f2a28ab18cd,2021,December,0,Four-Wheeler Manufacturer
2022-12-01,4-Wheelers,PCA Automobiles,0,dbf1a8c4-599a-4275-92dd-9fe1d447f979,2022,December,0,Four-Wheeler Manufacturer
2022-01-01,4-Wheelers,PCA Automobiles,0,7882b24a-35bd-4676-a729-d06f6825c6d8,2022,January,0,Four-Wheeler Manufacturer
2022-01-01,4-Wheelers,BMW India,0,a6ba966a-e648-4f18-a179-e1abce852d07,2022,January,0,Four-Wheeler Manufacturer
2022-01-01,4-Wheelers,Volvo Auto India,0,37d78072-9ff1-4e62-a66e-0fecf1166436,2022,January,0,Four-Wheeler Manufacturer
2022-01-01,4-Wheelers,KIA Motors,0,c4d676e1-8398-45d7-9206-202aeb27f841,2022,January,0,Four-Wheeler Manufacturer
2023-01-01,4-Wheelers,PCA Automobiles,0,7a748737-47e8-4bd5-a2c0-73e097e81d3a,2023,January,0,Four-Wheeler Manufacturer
2022-02-01,4-Wheelers,PCA Automobiles,0,62653950-3e1d-413c-a8b8-ffec2d79514f,2022,February,0,Four-Wheeler Manufacturer
2022-02-01,4-Wheelers,BMW India,0,5747c6b7-08b5-49bf-8716-c5ebc3be2df0,2022,February,0,Four-Wheeler Manufacturer
2022-02-01,4-Wheelers,Volvo Auto India,0,7e12a261-86fa-48a7-8db5-b284790cfe7e,2022,February,0,Four-Wheeler Manufacturer
2022-02-01,4-Wheelers,KIA Motors,0,ae6a27b8-010f-43e5-ad4b-b09045ec864e,2022,February,0,Four-Wheeler Manufacturer
2023-02-01,4-Wheelers,PCA Automobiles,0,bdbd19c1-387e-4766-b8d9-2a16d1f00bc0,2023,February,0,Four-Wheeler Manufacturer
2022-03-01,4-Wheelers,PCA Automobiles,0,90501a0c-292d-41fc-bde2-8cebb536fd88,2022,March,0,Four-Wheeler Manufacturer
2022-03-01,4-Wheelers,KIA Motors,0,30bd3f4b-f526-4b77-81ce-f70470c81756,2022,March,0,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,Tata Motors,322,28d13e1c-9b5e-4290-9c81-de8c6dfa83d4,2021,April,322,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,MG Motor,118,cac2c171-aa8f-431e-af87-00096483cb25,2021,April,118,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,Mahindra and Mahindra,171,10316a94-2b73-4a38-baa2-9b7cf1130949,2021,April,171,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,Hyundai Motor,12,7a7543ee-7a24-4abc-944e-5d030b88c182,2021,April,12,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,Mercedes-Benz AG,3,ee28ab9b-0c40-4627-81f5-c59871be548a,2021,April,3,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,Tata Motors,1409,b727ea46-5028-4256-9a7e-2d7688ea3382,2022,April,14117,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,MG Motor,177,e49dc950-ada3-4edc-827a-18fb029a0b64,2022,April,1824,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,Mahindra and Mahindra,611,4a35acb1-d8a0-4638-bed5-e541d095c708,2022,April,4653,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,BYD India,15,1c776e96-a2bd-4123-9994-ac7ea06fc2a2,2022,April,48,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,Hyundai Motor,17,8feadbbd-d059-4bb0-8c46-2cc6f4c2de95,2022,April,127,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,BMW India,12,ef3c3def-d66e-40d9-be9d-70389322a97f,2022,April,19,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,Mercedes-Benz AG,8,4238de4f-6b31-4bc8-8787-89220f9112cf,2022,April,34,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,Tata Motors,364,5cc0f3d9-a371-4732-b0f4-d39e6b5a9f23,2023,April,41118,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,MG Motor,265,304b7f47-a951-4daa-b5a2-b5fb7c003693,2023,April,5189,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,Mahindra and Mahindra,4880,fad1f1d1-ed69-4077-80c3-05ea983482ae,2023,April,22727,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,BYD India,156,bfe0a753-9ed5-4776-9d35-072dbff8d84c,2023,April,1109,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,Hyundai Motor,42,86a48970-3e90-4a33-94e3-15df31dab296,2023,April,728,Four-Wheeler Manufacturer
