date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-05-01,Andhra Pradesh,2-Wheelers,201,41370,0.49,2021,5,May,41169,2
2021-05-01,Andhra Pradesh,4-Wheelers,16,5831,0.27,2021,5,May,5815,2
2021-05-01,Arunachal Pradesh,2-Wheelers,0,552,0.0,2021,5,May,552,2
2021-05-01,Arunachal Pradesh,4-Wheelers,0,302,0.0,2021,5,May,302,2
2021-05-01,Assam,2-Wheelers,0,14723,0.0,2021,5,May,14723,2
2021-05-01,Assam,4-Wheelers,0,3295,0.0,2021,5,May,3295,2
2021-05-01,Bihar,2-Wheelers,8,55276,0.01,2021,5,May,55268,2
2021-05-01,Bihar,4-Wheelers,0,2249,0.0,2021,5,May,2249,2
2021-05-01,Chandigarh,2-Wheelers,0,411,0.0,2021,5,May,411,2
2021-05-01,Chandigarh,4-Wheelers,1,413,0.24,2021,5,May,412,2
2021-05-01,Chhattisgarh,2-Wheelers,6,5280,0.11,2021,5,May,5274,2
2021-05-01,Chhattisgarh,4-Wheelers,0,1387,0.0,2021,5,May,1387,2
2021-05-01,DNH and DD,2-Wheelers,0,452,0.0,2021,5,May,452,2
2021-05-01,DNH and DD,4-Wheelers,0,202,0.0,2021,5,May,202,2
2021-05-01,Delhi,2-Wheelers,0,22,0.0,2021,5,May,22,2
2021-05-01,Delhi,4-Wheelers,0,21,0.0,2021,5,May,21,2
2021-05-01,Goa,2-Wheelers,27,379,7.12,2021,5,May,352,2
2021-05-01,Goa,4-Wheelers,4,393,1.02,2021,5,May,389,2
2021-05-01,Gujarat,2-Wheelers,106,33419,0.32,2021,5,May,33313,2
2021-05-01,Gujarat,4-Wheelers,29,15959,0.18,2021,5,May,15930,2
2021-05-01,Haryana,2-Wheelers,17,7315,0.23,2021,5,May,7298,2
2021-05-01,Haryana,4-Wheelers,1,4373,0.02,2021,5,May,4372,2
2021-05-01,Himachal Pradesh,2-Wheelers,4,1721,0.23,2021,5,May,1717,2
2021-05-01,Himachal Pradesh,4-Wheelers,1,1503,0.07,2021,5,May,1502,2
2021-05-01,Jammu and Kashmir,2-Wheelers,50,1916,2.61,2021,5,May,1866,2
2021-05-01,Jammu and Kashmir,4-Wheelers,0,2372,0.0,2021,5,May,2372,2
2021-05-01,Jharkhand,2-Wheelers,39,21680,0.18,2021,5,May,21641,2
2021-05-01,Jharkhand,4-Wheelers,1,2290,0.04,2021,5,May,2289,2
2021-05-01,Karnataka,2-Wheelers,140,4942,2.83,2021,5,May,4802,2
2021-05-01,Karnataka,4-Wheelers,2,646,0.31,2021,5,May,644,2
2021-05-01,Kerala,2-Wheelers,95,6675,1.42,2021,5,May,6580,2
2021-05-01,Kerala,4-Wheelers,48,5164,0.93,2021,5,May,5116,2
2021-05-01,Ladakh,2-Wheelers,0,11,0.0,2021,5,May,11,2
2021-05-01,Ladakh,4-Wheelers,0,70,0.0,2021,5,May,70,2
2021-05-01,Madhya Pradesh,2-Wheelers,1,6302,0.02,2021,5,May,6301,2
2021-05-01,Madhya Pradesh,4-Wheelers,0,195,0.0,2021,5,May,195,2
2021-05-01,Maharashtra,2-Wheelers,189,16627,1.14,2021,5,May,16438,2
2021-05-01,Maharashtra,4-Wheelers,121,13528,0.89,2021,5,May,13407,2
2021-05-01,Manipur,2-Wheelers,0,288,0.0,2021,5,May,288,2
2021-05-01,Manipur,4-Wheelers,0,9,0.0,2021,5,May,9,2
