date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2021-06-01,2021,June,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.5304069200925389,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-06-01,2022,June,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.5198606379984666,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-06-01,2022,June,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.5198606379984666,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-06-01,2022,June,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.5198606379984666,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-07-01,2021,July,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.45427241976312155,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-07-01,2021,July,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.45427241976312155,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-07-01,2021,July,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.45427241976312155,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-07-01,2021,July,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.45427241976312155,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-07-01,2021,July,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.45427241976312155,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-07-01,2022,July,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.5099937625184944,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-07-01,2022,July,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.5099937625184944,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-07-01,2022,July,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.5099937625184944,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-08-01,2021,August,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3900883521328545,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-08-01,2021,August,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3900883521328545,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-08-01,2021,August,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3900883521328545,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-08-01,2021,August,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3900883521328545,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
