date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
2021-04-01,2021,4,2,3,6.0,0.0,0.5,0.4054651081081644,0.1,21.0,Developing,0.003873466752743706,North,0.319375,1.57,6.0,26.18,0.0,0.0,0.5,0.14,3.57,3.57,1.5195132049061133,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chandigarh,2-Wheelers,6,1200
2021-04-01,2021,4,2,3,2.0,0.0,0.14,0.13102826240640408,0.03,16.0,Developing,0.015151515151515152,North,0.319375,0.44,5.0,7.33,0.0,0.0,0.5,0.14,3.57,3.57,1.5195132049061133,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chandigarh,4-Wheelers,2,1426
2021-04-01,2021,4,2,3,36.0,0.0,0.35,0.3001045924503381,0.57,15.0,Developing,0.023240800516462233,South,0.767,0.46,3.0,6.53,0.0,0.0,0.35,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chhattisgarh,2-Wheelers,36,10274
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,South,0.767,0.0,5.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Chhattisgarh,4-Wheelers,0,1563
2021-04-01,2021,4,2,3,1.0,0.0,0.15,0.1397619423751587,0.02,23.0,Developing,0.0006455777921239509,West,0.6475,0.23,8.0,5.81,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,657
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,West,0.6475,0.0,7.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,278
2021-04-01,2021,4,2,3,272.0,0.0,1.91,1.0681530811834012,4.31,7.0,Maturing,0.17559715945771465,North,0.319375,5.98,1.0,100.0,0.0,0.0,1.91,0.76,2.51,2.51,1.2556160374777743,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Delhi,2-Wheelers,272,14233
2021-04-01,2021,4,2,3,61.0,0.0,0.76,0.5653138090500605,0.97,5.0,Developing,0.4621212121212121,North,0.319375,2.38,1.0,39.79,0.0,0.0,1.91,0.76,2.51,2.51,1.2556160374777743,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Delhi,4-Wheelers,61,8076
2021-04-01,2021,4,2,3,36.0,0.0,1.07,0.7275486072772778,0.57,15.0,Maturing,0.023240800516462233,West,0.6475,1.65,6.0,41.47,0.0,0.0,1.07,0.55,1.95,1.95,1.0818051703517284,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Goa,2-Wheelers,36,3374
2021-04-01,2021,4,2,3,8.0,0.0,0.55,0.4382549309311553,0.13,12.0,Developing,0.06060606060606061,West,0.6475,0.85,6.0,21.32,0.0,0.0,1.07,0.55,1.95,1.95,1.0818051703517284,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Goa,4-Wheelers,8,1442
2021-04-01,2021,4,2,3,98.0,0.0,0.2,0.18232155679395465,1.55,12.0,Developing,0.0632666236281472,West,0.6475,0.31,5.0,7.75,0.0,0.0,0.2,0.25,0.8,0.8,0.5877866649021191,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Gujarat,2-Wheelers,98,49005
2021-04-01,2021,4,2,3,44.0,0.0,0.25,0.22314355131420976,0.7,6.0,Developing,0.3333333333333333,West,0.6475,0.39,5.0,9.69,0.0,0.0,0.2,0.25,0.8,0.8,0.5877866649021191,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Gujarat,4-Wheelers,44,17386
2021-04-01,2021,4,2,3,101.0,0.0,0.32,0.2776317365982795,1.6,11.0,Developing,0.06520335700451904,North,0.319375,1.0,2.0,16.75,0.0,0.0,0.32,0.02,16.0,16.0,2.833213344056216,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Haryana,2-Wheelers,101,31078
2021-04-01,2021,4,2,3,3.0,0.0,0.02,0.019802627296179712,0.05,15.0,Early,0.022727272727272728,North,0.319375,0.06,4.0,1.05,0.0,0.0,0.32,0.02,16.0,16.0,2.833213344056216,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Haryana,4-Wheelers,3,15476
2021-04-01,2021,4,2,3,9.0,0.0,0.21,0.19062035960864973,0.14,19.0,Developing,0.005810200129115558,North,0.319375,0.66,5.0,10.99,0.0,0.0,0.21,0.03,7.0,7.0,2.0794415416798357,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Himachal Pradesh,2-Wheelers,9,4360
2021-04-01,2021,4,2,3,1.0,0.0,0.03,0.0295588022415444,0.02,17.0,Early,0.007575757575757576,North,0.319375,0.09,6.0,1.57,0.0,0.0,0.21,0.03,7.0,7.0,2.0794415416798357,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Himachal Pradesh,4-Wheelers,1,3544
2021-04-01,2021,4,2,3,22.0,0.0,0.32,0.2776317365982795,0.35,17.0,Developing,0.014202711426726921,North,0.319375,1.0,4.0,16.75,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Jammu and Kashmir,2-Wheelers,22,6874
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Jammu and Kashmir,4-Wheelers,0,5107
2021-04-01,2021,4,2,3,80.0,0.0,0.3,0.262364264467491,1.27,13.0,Developing,0.051646223369916075,Central,0.09208333333333334,3.26,4.0,44.78,0.0,0.0,0.3,0.09,3.33,3.33,1.4655675420143985,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Jharkhand,2-Wheelers,80,26969
2021-04-01,2021,4,2,3,3.0,0.0,0.09,0.08617769624105233,0.05,15.0,Early,0.022727272727272728,Central,0.09208333333333334,0.98,3.0,13.43,0.0,0.0,0.3,0.09,3.33,3.33,1.4655675420143985,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Jharkhand,4-Wheelers,3,3425
2021-04-01,2021,4,2,3,1549.0,0.0,2.58,1.275362800412609,24.53,1.0,Advanced,1.0,West,0.6475,3.98,1.0,100.0,0.0,0.0,2.58,0.53,4.87,4.87,1.7698546338400052,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Karnataka,2-Wheelers,1549,59979
2021-04-01,2021,4,2,3,90.0,0.0,0.53,0.4252677354043441,1.43,3.0,Developing,0.6818181818181818,West,0.6475,0.82,3.0,20.54,0.0,0.0,2.58,0.53,4.87,4.87,1.7698546338400052,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Karnataka,4-Wheelers,90,16864
2021-04-01,2021,4,2,3,379.0,0.0,0.66,0.5068176023684519,6.0,5.0,Developing,0.2446739832149774,West,0.6475,1.02,4.0,25.58,0.0,0.0,0.66,0.56,1.18,1.18,0.7793248768009976,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Kerala,2-Wheelers,379,57624
2021-04-01,2021,4,2,3,132.0,0.0,0.56,0.44468582126144574,2.09,1.0,Developing,1.0,West,0.6475,0.86,1.0,21.71,0.0,0.0,0.66,0.56,1.18,1.18,0.7793248768009976,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Kerala,4-Wheelers,132,23660
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Ladakh,2-Wheelers,0,2
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Ladakh,4-Wheelers,0,20
2021-04-01,2021,4,2,3,126.0,0.0,0.43,0.35767444427181594,2.0,10.0,Developing,0.08134280180761781,Central,0.09208333333333334,4.67,3.0,64.18,0.0,0.0,0.43,0.04,10.75,10.75,2.463853240590168,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Madhya Pradesh,2-Wheelers,126,29491
2021-04-01,2021,4,2,3,2.0,0.0,0.04,0.039220713153281295,0.03,16.0,Early,0.015151515151515152,Central,0.09208333333333334,0.43,4.0,5.97,0.0,0.0,0.43,0.04,10.75,10.75,2.463853240590168,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Madhya Pradesh,4-Wheelers,2,5356
2021-04-01,2021,4,2,3,428.0,0.0,0.94,0.6626879730752367,6.78,4.0,Maturing,0.276307295029051,West,0.6475,1.45,3.0,36.43,0.0,0.0,0.94,0.57,1.65,1.65,0.9745596399981308,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Maharashtra,2-Wheelers,428,45515
2021-04-01,2021,4,2,3,96.0,0.0,0.57,0.4510756193602166,1.52,2.0,Developing,0.7272727272727273,West,0.6475,0.88,2.0,22.09,0.0,0.0,0.94,0.57,1.65,1.65,0.9745596399981308,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Maharashtra,4-Wheelers,96,16829
2021-04-01,2021,4,2,3,2.0,0.0,0.07,0.06765864847381481,0.03,22.0,Early,0.0012911555842479018,Central,0.09208333333333334,0.76,7.0,10.45,0.0,0.0,0.07,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Manipur,2-Wheelers,2,3048
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.09208333333333334,0.0,6.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Manipur,4-Wheelers,0,808
