state,sales_2022,sales_2024,CAGR
Nagaland,14176,5480,-37.83
Assam,431543,146247,-41.79
Puducherry,48208,16301,-41.85
Haryana,605720,196523,-43.04
Chhattisgarh,416058,133971,-43.25
Meghalaya,30244,9579,-43.72
Tamil Nadu,1502836,463528,-44.46
Karnataka,1251987,379658,-44.93
Mizoram,24207,7282,-45.15
Andaman and Nicobar Islands,6373,1908,-45.28
