state,sales_2022,sales_2024,CAGR
Meghalaya,4,133,476.63
Tripura,28,304,229.5
Nagaland,1,9,200.0
Chandigarh,411,2877,164.58
Chhattisgarh,4534,28540,150.89
West Bengal,2685,16864,150.62
Goa,1778,10799,146.45
DNH and DD,35,198,137.85
Uttar Pradesh,10222,57758,137.7
Madhya Pradesh,7916,43223,133.67
