state,sales_2022,sales_2024,CAGR
Nagaland,14179,5483,-37.814902200601495
Puducherry,49662,17503,-40.6331311776587
Assam,433527,147611,-41.648599243948546
Chhattisgarh,432818,142456,-42.62962139887778
Haryana,618249,201143,-42.96115137722101
Karnataka,1343234,430905,-43.36108455354902
Meghalaya,30277,9628,-43.60876313113339
Tamil Nadu,1566918,495075,-43.790158160777295
Mizoram,24243,7420,-44.676611556106636
Goa,68010,20689,-44.845193869276024
