state,sales_2022,sales_2024,CAGR
Meghalaya,22189,36495,28.25
Karnataka,964783,1420999,21.36
Goa,46594,67725,20.56
Delhi,385005,559624,20.56
Assam,378720,544129,19.86
Rajasthan,860898,1234032,19.73
Gujarat,1076846,1506628,18.28
Andaman & Nicobar,5126,7168,18.25
Arunachal Pradesh,19929,27861,18.24
Mizoram,19439,27147,18.17
